Year,Department,Salary_Cost,Equipment_Cost,Maintenance_Cost,Utilities_Cost,Miscellaneous_Cost,Total_Cost
2022,Electrical,741707,470688,149283,72236,63127,1497041
2023,Mechanical,609964,467291,89297,64923,36450,1267925
2021,Civil,826118,476264,144005,51250,72999,1570636
2023,Electrical,813869,272455,138434,63264,54031,1342053
2023,Electrical,815862,385184,144749,51611,61052,1458458
2020,Mechanical,808000,307033,81607,57928,41346,1295914
2021,Computer Science,612336,492139,139183,84558,44852,1373068
2021,Civil,682212,491150,136305,50867,79882,1440416
2021,Civil,645591,439432,107973,81689,37067,1311752
2023,Computer Science,698537,463490,103117,95213,61485,1421842
2022,Computer Science,889372,413217,87645,83095,39689,1513018
2021,Computer Science,614429,356924,122238,53816,47801,1195208
2023,Mechanical,684294,282735,149694,82626,70535,1269884
2020,Mechanical,784087,322781,121773,85916,54272,1368829
2022,Civil,811979,491207,96786,97838,33763,1531573
2020,Mechanical,637310,376031,120693,61573,69696,1265303
2022,Electrical,701827,378305,106578,93334,60075,1340119
2023,Civil,799899,448713,126408,68939,58692,1502651
2019,Mechanical,807500,358049,149702,63157,56549,1434957
2022,Computer Science,699862,402783,95076,59322,30878,1287921
2020,Electrical,650255,255630,99377,52482,58848,1116592
2023,Computer Science,822603,315488,89278,85867,60741,1373977
2022,Civil,867553,384278,144808,94280,49268,1540187
2019,Computer Science,642438,306289,113539,63675,40787,1166728
2019,Mechanical,841482,268953,91440,80420,71620,1353915
2021,Mechanical,841310,350932,106245,92516,61671,1452674
2021,Civil,861084,391140,102097,61735,41336,1457392
2020,Computer Science,870013,328930,147092,63850,57738,1467623
2022,Civil,787934,436988,81151,56732,43487,1406292
2022,Computer Science,888102,251067,101698,90753,70139,1401759
2021,Electrical,807374,300658,97601,95468,64037,1365138
2022,Mechanical,827402,302165,106807,88822,42898,1368094
2022,Civil,757217,330781,125302,99720,47678,1360698
2019,Electrical,626442,390931,88039,84422,73051,1262885
2021,Electrical,681948,279164,127427,82731,48141,1219411
2023,Civil,854657,354946,138049,61428,40156,1449236
2021,Civil,887740,461985,99053,61311,54160,1564249
2023,Electrical,675791,377580,135413,53733,42835,1285352
2019,Computer Science,642406,483442,145958,89579,39383,1400768
2020,Electrical,640524,349251,111275,58342,69346,1228738
