Year,Department,Faculty_Count,Student_Count,Lab_Count,Building_Area,Tuition_Income,Total_Cost
2022,EEE,42,843,12,617,4455551,8460199
2023,ECE,22,405,8,797,5715432,5468160
2021,EEE,16,300,6,882,4631069,4507178
2023,IT,51,883,11,690,3966165,7874297
2023,ECE,29,731,10,857,4683179,7582614
2020,AIDS,39,605,10,1439,4891211,6442564
2021,CIVIL,57,826,12,1394,5749394,7173307
2021,CIVIL,14,352,6,1085,2100751,3285577
2021,AIDS,55,819,12,707,4155839,9256979
2023,AIDS,36,629,9,951,3222740,7628912
2022,AIDS,50,857,12,1072,3973795,9229101
2021,MECH,34,624,12,1147,4338696,7251929
2023,ECE,15,413,6,1297,2699820,4756044
2020,CIVIL,20,446,8,851,1428755,3416193
2022,ECE,19,465,7,1216,2151049,5387002
2020,EEE,37,678,10,1358,1744543,6029391
2022,CIVIL,18,438,7,633,5249691,4074729
2023,MECH,33,598,12,1119,2272137,6337907
2019,AIDS,32,575,9,1401,5368199,6015413
2022,IT,27,477,7,1178,3428851,4913843
2020,AIDS,35,653,11,1064,1048695,6817256
2023,AIDS,27,453,9,868,5125168,7254109
2022,MECH,24,500,11,1012,2701132,5444760
2019,ECE,21,414,7,680,4696758,3976089
2019,CIVIL,41,853,12,1403,3145180,6559561
2021,AIDS,13,367,6,900,5566583,5120818
2021,CIVIL,49,744,12,975,4738932,6488986
2020,CSE,32,744,9,1199,5511076,6644644
2022,EEE,30,625,10,632,1347240,5695478
2022,ECE,45,658,11,785,4215951,7411782
2021,CIVIL,23,444,8,866,1853554,4206380
2022,IT,37,574,8,897,3367352,5850563
2022,EEE,38,808,12,1428,3471190,7715604
2019,IT,27,478,7,1385,3812858,4124658
2021,AIDS,31,776,11,1373,5420444,7520401
2023,EEE,37,713,11,1400,1496885,7442622
2021,CIVIL,20,452,8,1442,4214242,4850442
2023,EEE,24,403,8,1440,4388854,4724949
2019,AIDS,21,374,8,825,2964168,4966015
2020,MECH,25,427,9,768,3926353,5131379
2022,ECE,36,867,12,798,1830198,7503141
2019,IT,27,644,8,841,5060308,5168460
2022,AIDS,36,830,12,640,3305711,8450027
2020,MECH,17,458,9,984,3701667,4713743
2020,EEE,40,837,12,794,2518848,6992943
2019,EEE,29,725,11,607,3331436,5822221
2020,AIDS,15,322,6,1464,5009022,4715653
2023,CIVIL,16,346,7,1053,2341241,3773278
2020,EEE,52,824,12,1339,4539749,7148312
2022,CIVIL,21,443,8,636,4574812,4932021
2022,CIVIL,41,884,12,1049,2516119,7302620
2022,ECE,59,888,12,1290,2477175,8453281
2022,CIVIL,43,718,12,681,1324822,6501628
2023,CSE,18,384,5,1338,5351901,4468649
2021,ECE,44,715,12,750,4254770,7971711
2019,MECH,39,781,12,547,2131122,6728078
2022,MECH,34,755,12,745,3685429,7191273
2020,EEE,25,596,10,702,2650374,5048992
2022,EEE,20,411,8,1349,5636720,5651888
2020,CIVIL,28,529,10,1446,2954418,4980012
2020,ECE,26,395,7,1164,5340391,5426227
2022,ECE,40,677,11,1126,1878638,6926497
2023,CSE,21,455,7,1099,3068226,4827348
2020,CIVIL,43,720,11,1022,1580509,6273840
2020,CSE,22,404,6,964,3742594,3871978
2022,CIVIL,39,629,10,1184,3105149,6394402
2020,IT,43,738,10,769,3469284,6211443
2020,IT,21,431,6,787,2988832,4090770
2022,AIDS,39,681,11,1484,1648478,7028847
2022,CIVIL,17,437,7,1208,4076141,4966395
2019,ECE,27,569,9,1483,5644811,5769492
2023,EEE,40,849,12,1238,4176236,7569808
2023,MECH,33,695,12,1266,5019213,8056604
2020,AIDS,55,856,12,572,3541942,8533373
2023,EEE,42,763,12,1164,1969406,7958551
2020,IT,43,749,11,620,3421722,6076384
2019,CIVIL,26,630,11,1093,4680087,5284651
2022,AIDS,37,552,9,1212,5298917,6618253
